nodeID,drug_name,x_id,cancer_gene,brite,mySamplingNumber,
O14745,Afatinib;PF-06747775;Savolitinib,SLC9A3R1,FALSE,Transporters,61,
O14773,SB590885;GDC-0879;Dabrafenib;PLX-4720,TPP1,FALSE,Peptidases and inhibitors,69,
O14776,TGX221,TCERG1,FALSE,Spliceosome,24,
O14786,Afatinib,NRP1,FALSE,CD molecules,93,
O14802,Savolitinib,POLR3A,FALSE,Transcription machinery,8,
O14818,Afatinib;Crizotinib,PSMA7,FALSE,Peptidases and inhibitors,100,
O14828,Dabrafenib;A-1155463;Crizotinib,SCAMP3,FALSE,Membrane trafficking,28,
O14874,AZD5582;IAP_7638;Savolitinib,BCKDK,FALSE,Protein kinases,89,
O14908,Dabrafenib;PLX-4720,GIPC1,FALSE,Membrane trafficking,42,
O14920,Crizotinib,IKBKB,FALSE,Protein kinases,45,
O14964,Afatinib;Dabrafenib;PLX-4720;Crizotinib,HGS,FALSE,Membrane trafficking,52,
O14974,GSK429286A,PPP1R12A,FALSE,Protein phosphatases and associated proteins,40,
O14979,Dabrafenib,HNRNPDL,FALSE,Spliceosome,4,
O14980,Afatinib;IAP_7638,XPO1,TRUE,Messenger RNA biogenesis,57,
O15020,Afatinib;Crizotinib,SPTBN2,FALSE,Cytoskeleton proteins,61,
O15027,Afatinib;PLX-4720;Dabrafenib;PF-06747775;IAP_7638,SEC16A,FALSE,Membrane trafficking,10,
O15031,Afatinib;Dabrafenib;Cetuximab;Nilotinib;PF-06747775;SB590885;Lapatinib,PLXNB2,FALSE,none,54,
O15042,SB590885;GDC-0879;Dabrafenib;PLX-4720,U2SURP,FALSE,Spliceosome,15,
O15047,PF-06747775,SETD1A,FALSE,Chromosome and associated proteins,16,
O15061,GDC-0879;CAY10566;Dabrafenib;SB590885;Ara-G,SYNM,FALSE,Cytoskeleton proteins,53,
O15067,Afatinib;PF-06747775,PFAS,FALSE,Enzymes,77,
O15085,Dabrafenib,ARHGEF11,FALSE,Membrane trafficking,20,
O15116,Afatinib,100 LSM,FALSE,Messenger RNA biogenesis,86,
O15127,Afatinib;Savolitinib,SCAMP2,FALSE,Membrane trafficking,41,
O15143,AZD5582;TGX221;PLX-4720;Dabrafenib;Crizotinib,ARPC1B,FALSE,Membrane trafficking,70,
O15144,Crizotinib;Dabrafenib;IAP_7638;AZD5582,ARPC2,FALSE,Membrane trafficking,47,
O15145,Crizotinib;Dabrafenib;IAP_7638;AZD5582,ARPC3,FALSE,Membrane trafficking,68,
O15160,SB590885,POLR1C,FALSE,Transcription machinery,77,
O15164,Ara-G,TRIM24,FALSE,Protein kinases,27,
O15173,SB590885;AZD5582,PGRMC2,FALSE,Exosome,20,
O15212,Afatinib;Savolitinib,PFDN6,FALSE,Chaperones and folding catalysts,32,
O15226,Afatinib;PF-06747775,NKRF,FALSE,Transcription factors,4,
O15228,Capmatinib,GNPAT,FALSE,Enzymes,56,
O15230,Afatinib,LAMA5,FALSE,none,23,
O15269,GDC-0879;Afatinib;PLX-4720;Cetuximab;Dabrafenib;PF-06747775;SB590885,SPTLC1,FALSE,Amino acid related enzymes,70,
O15270,Afatinib,SPTLC2,FALSE,Amino acid related enzymes,63,
O15294,Afatinib,OGT,FALSE,Glycosyltransferases,62,
O15347,AC220;TGX221;Crizotinib,HMGB3,FALSE,Chromosome and associated proteins,93,
O15355,Afatinib;IAP_5620;Savolitinib;AZD5582;IAP_7638,PPM1G,FALSE,Protein phosphatases and associated proteins,61,
O15357,AC220,INPPL1,TRUE,Membrane trafficking,62,
O15371,Afatinib;AZD5582;Dabrafenib;PF-06747775;IAP_7638,EIF3D,FALSE,Translation factors,6,
O15372,Afatinib;Dabrafenib;PLX-4720;AZD5582,EIF3H,FALSE,Translation factors,63,
O15381,Dabrafenib,NVL,FALSE,Ribosome biogenesis,55,
O15382,SB590885;Dabrafenib;PLX-4720,BCAT2,FALSE,Amino acid related enzymes,48,
O15400,GDC-0879;Savolitinib;PLX-4720;Dabrafenib;SB590885,STX7,FALSE,Membrane trafficking,94,
O15460,WH-4-023;GSK269962A;TGX221;PD173074;PF-06747775;AZD4547;GSK429286A,P4HA2,FALSE,Enzymes,30,
O15511,Dabrafenib;Crizotinib,ARPC5,FALSE,Membrane trafficking,17,
O15541,AC220,RNF113A,FALSE,Spliceosome,41,
O43148,Dabrafenib;AZD5582,RNMT,FALSE,Messenger RNA biogenesis,36,
O43159,Savolitinib,RRP8,FALSE,Ribosome biogenesis,67,
O43169,AC220,CYB5B,FALSE,none,16,
O43172,Dabrafenib,PRPF4,FALSE,Spliceosome,84,
O43175,Afatinib;AZD5582;Venetoclax;IAP_7638;Crizotinib,PHGDH,FALSE,Exosome,94,
O43181,SB590885;WEHI-539,NDUFS4,FALSE,none,49,
O43242,Afatinib;Savolitinib,PSMD3,FALSE,Proteasome,31,
O43264,Savolitinib,ZW10,FALSE,Membrane trafficking,43,
O43278,Afatinib;PF-06747775,SPINT1,FALSE,Peptidases and inhibitors,94,
O43290,Dabrafenib,SART1,FALSE,Spliceosome,73,
O43291,GSK429286A,SPINT2,FALSE,Peptidases and inhibitors,85,
O43390,Dabrafenib,HNRNPR,FALSE,Spliceosome,48,
O43395,Dabrafenib,PRPF3,FALSE,Spliceosome,53,
O43396,Afatinib;Venetoclax,TXNL1,FALSE,none,73,
O43402,Afatinib;IAP_5620;IAP_7638;AZD5582,EMC8,FALSE,Membrane trafficking,77,
O43414,NVP-BHG712,ERI3,FALSE,Chromosome and associated proteins,89,
O43432,Crizotinib;Afatinib;AZD5582,EIF4G3,FALSE,Messenger RNA biogenesis,76,
O43447,Afatinib;GSK1070916;TGX221;Ara-G,PPIH,FALSE,Spliceosome,92,
O43464,Savolitinib;Ara-G,HTRA2,FALSE,Peptidases and inhibitors,28,
O43491,Afatinib,EPB41L2,FALSE,Domain-containing proteins not elsewhere classified,43,
O43566,Savolitinib,RGS14,FALSE,none,8,
O43583,Crizotinib;IAP_5620;IAP_7638;AZD5582,DENR,FALSE,Messenger RNA biogenesis,12,
O43598,IAP_7638,DNPH1,FALSE,Enzymes,75,
O43615,Ruxolitinib,TIMM44,FALSE,Mitochondrial biogenesis,74,
O43617,Afatinib;Savolitinib;Crizotinib,TRAPPC3,FALSE,Membrane trafficking,71,
O43660,IAP_5620;AZD5582;Dabrafenib;SB590885;IAP_7638,PLRG1,FALSE,Spliceosome,18,
O43665,Dabrafenib,RGS10,FALSE,none,85,
O43670,AC220;Crizotinib;AZD5582,ZNF207,FALSE,none,78,
O43678,AC220;WEHI-539,NDUFA2,FALSE,none,16,
O43684,Afatinib;AZD5582,BUB3,FALSE,Spliceosome,92,
O43707,WH-4-023;TGX221;Venetoclax,ACTN4,FALSE,Membrane trafficking,76,
O43719,Dabrafenib,HTATSF1,FALSE,Spliceosome,59,
O43752,Afatinib;PF-06747775,STX6,FALSE,Membrane trafficking,42,
O43759,Dabrafenib,SYNGR1,FALSE,none,82,
O43760,Afatinib,SYNGR2,FALSE,none,67,
O43765,Afatinib;IAP_7638,SGTA,FALSE,Chaperones and folding catalysts,23,
O43795,Afatinib;Cetuximab;PF-06747775,MYO1B,FALSE,Protein phosphatases and associated proteins,24,
O43818,SB590885;AZD5582,RRP9,FALSE,Ribosome biogenesis,49,
O43824,WEHI-539,GTPBP6,FALSE,none,72,
O43920,AC220;SB590885,NDUFS5,FALSE,none,36,
O60216,Dabrafenib;Venetoclax;Ara-G,RAD21,TRUE,Chromosome and associated proteins,10,
O60218,Dabrafenib,AKR1B10,FALSE,Enzymes,44,
O60231,Afatinib,DHX16,FALSE,Spliceosome,44,
O60245,Venetoclax,PCDH7,FALSE,Protein phosphatases and associated proteins,75,
O60256,IAP_5620;IAP_7638;AZD5582,PRPSAP2,FALSE,none,74,
O60264,Dabrafenib;PLX-4720;Savolitinib,SMARCA5,FALSE,Transcription machinery,65,
O60313,Afatinib;Savolitinib,OPA1,FALSE,Mitochondrial biogenesis,93,
O60341,Savolitinib;Venetoclax;Ara-G,KDM1A,FALSE,Chromosome and associated proteins,52,
O60462,Afatinib,NRP2,FALSE,Membrane trafficking,16,
O60488,Dabrafenib;Venetoclax,ACSL4,FALSE,Lipid biosynthesis proteins,7,
O60502,Savolitinib,OGA,FALSE,Enzymes,74,
O60507,WEHI-539,TPST1,FALSE,Enzymes,26,
O60508,Dabrafenib;PLX-4720,CDC40,FALSE,Spliceosome,77,
O60568,Savolitinib;AZD5582;TGX221;PLX-4720;Dabrafenib;Venetoclax,PLOD3,FALSE,Glycosyltransferases,12,
O60610,Savolitinib;Nilotinib;AZD5582,DIAPH1,FALSE,Cytoskeleton proteins,12,
O60645,TL-2-105,EXOC3,FALSE,Membrane trafficking,20,
O60664,LIMK1 inhibitor BMS4;Dabrafenib;PF-06747775,PLIN3,FALSE,Membrane trafficking,3,
O60678,Savolitinib,PRMT3,FALSE,Chromosome and associated proteins,52,
O60684,Afatinib;PF-06747775,KPNA6,FALSE,Chromosome and associated proteins,40,
O60701,IAP_7638;AZD5582,UGDH,FALSE,Enzymes,62,
O60749,Afatinib;Crizotinib,SNX2,FALSE,Membrane trafficking,44,
O60762,BIX-02188,DPM1,FALSE,Glycosyltransferases,3,
O60763,Dabrafenib;WEHI-539,USO1,FALSE,none,18,
O60784,SB590885;Dabrafenib;PLX-4720,TOM1,FALSE,Membrane trafficking,29,
O60826,Dabrafenib,CCDC22,FALSE,Membrane trafficking,25,
O60831,Afatinib;PF-06747775,PRAF2,FALSE,Membrane trafficking,67,
O60832,Afatinib;Dabrafenib;PLX-4720;Savolitinib,DKC1,FALSE,Ribosome biogenesis,29,
O60841,Afatinib;AZD5582,EIF5B,FALSE,Translation factors,31,
O60869,Afatinib,EDF1,FALSE,none,39,
O60884,IAP_7638;AZD5582,DNAJA2,FALSE,Chaperones and folding catalysts,43,
O60885,Afatinib,BRD4,FALSE,Protein kinases,95,
O60888,Afatinib;PF-06747775,CUTA,FALSE,none,54,
O60925,Afatinib;Dabrafenib;Savolitinib,PFDN1,FALSE,Chaperones and folding catalysts,80,
O75054,SB590885,IGSF3,FALSE,Exosome,19,
O75083,Afatinib;AZD5582;PLX-4720;IAP_7638;Dabrafenib;LIMK1 inhibitor BMS4,WDR1,FALSE,Domain-containing proteins not elsewhere classified,65,
O75152,Ara-G,ZC3H11A,TRUE,Messenger RNA biogenesis,90,
O75165,Dabrafenib;Crizotinib,DNAJC13,FALSE,Spliceosome,84,
O75175,Afatinib;AZD5582,CNOT3,TRUE,Messenger RNA biogenesis,27,
O75208,PF-06747775,COQ9,FALSE,none,10,
O75223,PF-06747775;Savolitinib,GGCT,FALSE,Enzymes,16,
O75251,Savolitinib,NDUFS7,FALSE,Enzymes,52,
O75306,SB590885;WEHI-539;Savolitinib,NDUFS2,FALSE,Enzymes,25,
O75312,Afatinib;Savolitinib,ZPR1,FALSE,none,13,
O75323,Afatinib;CAY10566;PF-06747775,NIPSNAP2,FALSE,none,51,
O75347,Afatinib;GDC-0879;Savolitinib;PLX-4720;Dabrafenib;SB590885;IAP_7638;Crizotinib,TBCA,FALSE,Cytoskeleton proteins,40,
O75348,Afatinib;GDC-0879;PLX-4720;Dabrafenib;SB590885,ATP6V1G1,FALSE,none,73,
O75351,Venetoclax;IAP_7638;AZD5582,VPS4B,FALSE,Membrane trafficking,10,
O75368,SB590885;Dabrafenib,SH3BGRL,FALSE,Domain-containing proteins not elsewhere classified,41,
O75380,AC220;WEHI-539;PF-06747775,NDUFS6,FALSE,none,45,
O75381,IAP_7638;AZD5582,PEX14,FALSE,Membrane trafficking,83,
O75382,PF-06747775,TRIM3,FALSE,Ubiquitin system,46,
O75396,Afatinib;TGX221;Savolitinib,SEC22B,FALSE,Membrane trafficking,27,
O75400,SB590885;GDC-0879;Dabrafenib;PLX-4720,PRPF40A,FALSE,Spliceosome,91,
O75431,Savolitinib,MTX2,FALSE,Mitochondrial biogenesis,6,
O75436,IAP_7638;AZD5582,VPS26A,FALSE,Membrane trafficking,32,
O75438,PF-06747775,NDUFB1,FALSE,none,100,
O75439,Afatinib,PMPCB,FALSE,Peptidases and inhibitors,18,
O75449,IAP_7638,KATNA1,FALSE,Cytoskeleton proteins,99,
O75475,Afatinib;Venetoclax;Lapatinib;PF-06747775,PSIP1,TRUE,Spliceosome,44,
O75477,IAP_5620;AZD5582;Linifanib;IAP_7638;Crizotinib,ERLIN1,FALSE,Ubiquitin system,84,
O75489,WEHI-539;Savolitinib,NDUFS3,FALSE,Enzymes,37,
O75525,Venetoclax;Savolitinib,KHDRBS3,FALSE,Spliceosome,69,
O75531,Savolitinib,BANF1,FALSE,Chromosome and associated proteins,40,
O75533,Dabrafenib;Savolitinib,SF3B1,TRUE,Spliceosome,23,
O75569,Afatinib;Venetoclax;IAP_7638;AZD5582,PRKRA,FALSE,Chromosome and associated proteins,83,
O75608,AZD5582,LYPLA1,FALSE,Enzymes,63,
O75616,Afatinib,ERAL1,FALSE,Ribosome biogenesis,59,
O75643,SB590885;Dabrafenib;PLX-4720;Savolitinib,SNRNP200,FALSE,Spliceosome,60,
O75663,GDC-0879;Afatinib;SB590885,TIPRL,FALSE,Protein phosphatases and associated proteins,28,
O75683,Afatinib;PF-06747775,SURF6,FALSE,none,82,
O75688,AC220;Savolitinib,PPM1B,FALSE,Protein phosphatases and associated proteins,63,
O75694,IAP_5620;Savolitinib;AZD5582;Dabrafenib;SB590885;IAP_7638,NUP155,FALSE,Messenger RNA biogenesis,31,
O75695,Savolitinib,RP2,FALSE,Cilium and associated proteins,84,
O75718,Afatinib;GSK269962A;TGX221;Ponatinib;Dabrafenib;PF-06747775;AZD4547;GSK429286A,CRTAP,FALSE,Chaperones and folding catalysts,46,
O75746,Crizotinib,SLC25A12,FALSE,Transporters,40,
O75781,Imatinib,PALM,FALSE,none,77,
O75792,Afatinib;Venetoclax;IAP_7638,RNASEH2A,FALSE,DNA replication proteins,64,
O75821,Afatinib;PLX-4720;PF-06747775;AZD5582,EIF3G,FALSE,Translation factors,56,
O75822,IAP_7638;AZD5582,EIF3J,FALSE,Ribosome biogenesis,50,
O75828,SB590885;Dabrafenib;PLX-4720;AZD5582,CBR3,FALSE,Enzymes,61,
O75832,Crizotinib,PSMD10,FALSE,Proteasome,13,
O75874,Crizotinib;SB590885;IAP_7638;AZD5582,IDH1,TRUE,Enzymes,58,
O75880,Afatinib;CAY10566;AZD5582,SCO1,FALSE,Mitochondrial biogenesis,8,
O75886,PLX-4720,STAM2,FALSE,Membrane trafficking,84,
O75891,SB590885;Cabozantinib,ALDH1L1,FALSE,Enzymes,26,
O75911,IAP_7638,DHRS3,FALSE,Enzymes,21,
O75915,Savolitinib,ARL6IP5,FALSE,Membrane trafficking,69,
O75934,Dabrafenib;IAP_7638;AZD5582,BCAS2,FALSE,Spliceosome,54,
O75935,Afatinib;PF-06747775,DCTN3,FALSE,Chromosome and associated proteins,51,
O75937,Crizotinib;Afatinib;PF-06747775;AZD5582,DNAJC8,FALSE,Spliceosome,76,
O75940,Venetoclax,SMNDC1,FALSE,Spliceosome,72,
O75955,SB590885;WEHI-539;Ara-G,FLOT1,FALSE,Membrane trafficking,26,
O75976,WEHI-539;Savolitinib,CPD,FALSE,Peptidases and inhibitors,67,
O76003,Afatinib,GLRX3,FALSE,none,97,
O76021,SB590885;Afatinib,RSL1D1,FALSE,Ribosome biogenesis,68,
O76031,Afatinib,CLPX,FALSE,Chaperones and folding catalysts,56,
O76070,AZD5582,SNCG,FALSE,Transporters,48,
O76080,IAP_7638,ZFAND5,FALSE,Domain-containing proteins not elsewhere classified,32,
O76094,Afatinib;IAP_7638;AZD5582,SRP72,FALSE,Secretion system,53,
O94763,AZD5582,URI1,FALSE,Protein phosphatases and associated proteins,6,
O94766,Afatinib;AZD5582,B3GAT3,FALSE,Glycosyltransferases,24,
O94776,Ara-G,MTA2,FALSE,Transcription factors,62,
O94804,SB590885;GDC-0879;Dabrafenib;PLX-4720,STK10,FALSE,Protein kinases,23,
O94819,Temozolomide,KBTBD11,FALSE,Ubiquitin system,39,
O94851,GSK429286A,MICAL2,FALSE,Membrane trafficking,72,
O94874,Afatinib;PF-06747775,UFL1,FALSE,Ubiquitin system,83,
O94880,Savolitinib;Afatinib;Ara-G,PHF14,FALSE,none,58,
O94888,WH-4-023;TGX221,UBXN7,FALSE,Ubiquitin system,75,
O94905,WEHI-539;AZD5582,ERLIN2,FALSE,Ubiquitin system,2,
O94906,SB590885;Savolitinib,PRPF6,FALSE,Spliceosome,71,
O94919,SB590885;AZD4547;Dabrafenib;PLX-4720,ENDOD1,FALSE,none,93,
O94925,WH-4-023;Savolitinib;TGX221;Dabrafenib;PF-06747775,GLS,FALSE,Enzymes,45,
O95104,Dabrafenib,SCAF4,FALSE,Transcription machinery,94,
O95155,Ara-G,UBE4B,FALSE,Ubiquitin system,68,
O95159,Afatinib;IAP_5620;AZD5582;Savolitinib;IAP_7638,ZFPL1,FALSE,none,33,
O95168,AC220;Afatinib;WEHI-539;SB590885,NDUFB4,FALSE,none,96,
O95169,SB590885;Nilotinib;WEHI-539,NDUFB8,FALSE,none,58,
O95182,AC220;WEHI-539;A-1155463,NDUFA7,FALSE,none,59,
O95218,Afatinib;Linifanib;Crizotinib,ZRANB2,FALSE,Spliceosome,71,
O95219,Afatinib,SNX4,FALSE,Membrane trafficking,4,
O95232,Venetoclax;IAP_7638;AZD5582,LUC7L3,FALSE,none,25,
O95239,Afatinib;PF-06747775,KIF4A,FALSE,Cytoskeleton proteins,74,
O95248,Afatinib,SBF1,FALSE,Protein phosphatases and associated proteins,73,
O95292,Afatinib;Axitinib;PF-06747775,VAPB,FALSE,Membrane trafficking,51,
O95297,SB590885,MPZL1,FALSE,Cell adhesion molecules,82,
O95299,SB590885;WEHI-539,NDUFA10,FALSE,none,72,
O95347,Afatinib,SMC2,FALSE,Chromosome and associated proteins,67,
O95372,Crizotinib,LYPLA2,FALSE,Enzymes,16,
O95373,Afatinib;PF-06747775;GSK429286A,IPO7,FALSE,Ribosome biogenesis,31,
O95400,Afatinib;Ara-G,CD2BP2,FALSE,Protein phosphatases and associated proteins,62,
O95425,Afatinib,SVIL,FALSE,Cytoskeleton proteins,9,
O95433,Afatinib;AZD5582,AHSA1,FALSE,Chaperones and folding catalysts,73,
O95487,SB590885,SEC24B,FALSE,Membrane trafficking,19,
O95571,Afatinib;PF-06747775;Savolitinib,ETHE1,FALSE,Mitochondrial biogenesis,4,
O95573,SB590885;GDC-0879;Dabrafenib;PLX-4720,ACSL3,FALSE,Lipid biosynthesis proteins,85,
O95613,Savolitinib,PCNT,FALSE,Chromosome and associated proteins,38,
O95630,Savolitinib,STAMBP,FALSE,Peptidases and inhibitors,37,
O95639,AZD5582,CPSF4,FALSE,Transcription machinery,13,
O95671,Crizotinib,ASMTL,FALSE,Enzymes,67,
O95696,Savolitinib,BRD1,FALSE,Chromosome and associated proteins,62,
O95721,Dabrafenib,SNAP29,FALSE,Membrane trafficking,7,
O95747,Afatinib;AZD5582;PLX-4720;Dabrafenib;PF-06747775;Lapatinib;GSK429286A,OXSR1,FALSE,Protein kinases,36,
O95757,AZD5582,HSPA4L,FALSE,Chaperones and folding catalysts,2,
O95758,Afatinib;PF-06747775;PLX-4720,PTBP3,FALSE,Spliceosome,74,
O95782,WH-4-023;Capmatinib;TGX221;Ponatinib;Venetoclax;SB590885;AZD4547;Linifanib,AP2A1,FALSE,Membrane trafficking,66,
O95793,AZD5582,STAU1,FALSE,Protein phosphatases and associated proteins,40,
O95816,AZD5582;Ruxolitinib,BAG2,FALSE,Chaperones and folding catalysts,19,
O95817,Savolitinib;AZD5582,BAG3,FALSE,Chaperones and folding catalysts,84,
O95825,AC220;Imatinib,CRYZL1,FALSE,none,86,
O95861,SB590885;GDC-0879;Dabrafenib,BPNT1,FALSE,Transfer RNA biogenesis,47,
O95865,Ara-G,DDAH2,FALSE,Exosome,9,
O95870,Savolitinib,ABHD16A,FALSE,Peptidases and inhibitors,2,
O95881,IAP_5620;AZD5582,TXNDC12,FALSE,Membrane trafficking,79,
O95983,Ara-G,MBD3,FALSE,Chromosome and associated proteins,52,
O96000,WEHI-539,NDUFB10,FALSE,none,48,
O96005,AZD5582,CLPTM1,FALSE,none,53,
O96019,Venetoclax;Ara-G;AZD5582,ACTL6A,FALSE,Transcription machinery,86,
P00167,Dabrafenib;PF-06747775,CYB5A,FALSE,none,82,
P00367,Afatinib;Pemetrexed;Cetuximab;PF-06747775;Lapatinib,GLUD1,FALSE,Exosome,99,
P00374,Savolitinib,DHFR,FALSE,Enzymes,85,
P00390,Crizotinib;IAP_7638;AZD5582,GSR,FALSE,Enzymes,7,
P00403,Afatinib;WEHI-539;Savolitinib,MT-CO2,FALSE,Mitochondrial biogenesis,87,
P00441,AZD5582,SOD1,FALSE,Enzymes,29,
P00492,Afatinib;Savolitinib,HPRT1,FALSE,Enzymes,58,
P00505,Afatinib;Dabrafenib;PF-06747775,GOT2,FALSE,Amino acid related enzymes,28,
P00558,Afatinib;GDC-0879;AZD5582;Savolitinib;LIMK1 inhibitor BMS4;PLX-4720;Dabrafenib;SB590885;IAP_7638,100 PGK,FALSE,Exosome,12
P00568,Afatinib;IAP_5620;Savolitinib;Venetoclax;IAP_7638,AK1,FALSE,Exosome,13,
P00749,IAP_7638;AZD5582,PLAU,FALSE,Peptidases and inhibitors,14,
P00813,Ara-G,ADA,FALSE,Enzymes,33,
P01111,Savolitinib,NRAS,TRUE,Membrane trafficking,28,
P02533,Afatinib,KRT14,FALSE,Cytoskeleton proteins,28,
P02538,Afatinib,KRT6A,FALSE,Cytoskeleton proteins,60,
P02765,SB590885,AHSG,FALSE,Peptidases and inhibitors,19,
P02786,SB590885;IAP_5620;IAP_7638;AZD5582,TFRC,FALSE,Peptidases and inhibitors,84,
P04004,Afatinib;Dabrafenib,VTN,FALSE,Exosome,32,
