nodeID;display name;name;shared name;canonical name;database identifier;description;node type;species;keggID;BRITEClass;number_of_nodes;number_of_edges;average_degree;degree_1_alters;degree_2_alters
155555;insF1-2;511145.b0372;511145.b0372;;511145.b0372;Pseudogene, autotransporter family,putative structure, Not classified, interrupted by IS3, putative flagellin structural protein;protein;Escherichia coli K12;#NV;;7.0;8.0;1.1428571428571428;3.0;3.0
155558;insE1-3;511145.b0540;511145.b0540;;511145.b0540;Pseudogene, DLP12 prophage,Phage or Prophage Related;protein;Escherichia coli K12;#NV;;5.0;6.0;1.2;1.0;3.0
155561;insH1-2;511145.b0552;511145.b0552;;511145.b0552;DLP12 prophage, truncated outer membrane porin (pseudogene),IS, phage, Tn, Phage or Prophage Related, outer membrane porin protein, locus of qsr prophage;protein;Escherichia coli K12;#NV;;7.0;12.0;1.7142857142857142;5.0;1.0
155564;insD1-2;511145.b1402;511145.b1402;;511145.b1402;Pseudogene, autotransporter homolog, interrupted by IS2 and IS30;protein;Escherichia coli K12;#NV;;27.0;83.0;3.074074074074074;10.0;16.0
155567;insD1-3;511145.b1996;511145.b1996;;511145.b1996;CP4-44 prophage, putative disrupted hemin or colicin receptor,Phage or Prophage Related, interrupted by IS2 and C-terminal deletion;protein;Escherichia coli K12;#NV;;14.0;50.0;3.5714285714285716;6.0;7.0
155570;insH1-7;511145.b2030;511145.b2030;;511145.b2030;Pseudogene, lipopolysaccharide biosynthesis protein;protein;Escherichia coli K12;#NV;;1.0;0.0;0.0;0.0;0.0
155573;insE1-5;511145.b2088;511145.b2088;;511145.b2088;Pseudogene, repressor for gat operon, interrupted by IS3, split galactitol utilization operon repressor, fragment 2, split galactitol utilization operon repressor, interrupted;protein;Escherichia coli K12;#NV;;62.0;1496.0;24.129032258064516;2.0;59.0
155576;insH1-8;511145.b2192;511145.b2192;;511145.b2192;Pseudogene, autotransporter outer membrane homology,putative transport, Not classified, putative ATP-binding component of a transport system;protein;Escherichia coli K12;#NV;;7.0;12.0;1.7142857142857142;3.0;3.0
155579;insD1-4;511145.b2860;511145.b2860;;511145.b2860;Pseudogene, orgA family, part of T3SS PAI ETT2 remnant;protein;Escherichia coli K12;#NV;;27.0;83.0;3.074074074074074;11.0;15.0
155582;insH1-9;511145.b2982;511145.b2982;;511145.b2982;Pseudogene, IS-interrupted;protein;Escherichia coli K12;#NV;;7.0;12.0;1.7142857142857142;4.0;2.0
155585;insC1-5;511145.b3044;511145.b3044;;511145.b3044;Pseudogene, fimbrial export usher family,putative membrane, Not classified, putative membrane protein;protein;Escherichia coli K12;#NV;;16.0;56.0;3.5;8.0;7.0
155588;insH1-10;511145.b3218;511145.b3218;;511145.b3218;Pseudogene fragment, interrupted by IS5;protein;Escherichia coli K12;#NV;;6.0;11.0;1.8333333333333333;3.0;2.0
155591;insA-5;511145.b3444;511145.b3444;;511145.b3444;Pseudogene, interrupted by IS1E;protein;Escherichia coli K12;#NV;;13.0;56.0;4.3076923076923075;6.0;6.0
155594;insH1-11;511145.b3505;511145.b3505;;511145.b3505;Pseudogene;protein;Escherichia coli K12;#NV;;6.0;11.0;1.8333333333333333;4.0;1.0
155597;insC1-6;511145.b4272;511145.b4272;;511145.b4272;Pseudogene, integrase homology,IS, phage, Tn, Phage-related functions and prophages, KpLE2 phage-like element, P4-like integrase;protein;Escherichia coli K12;#NV;;16.0;56.0;3.5;8.0;7.0
155600;insI1-3;511145.b4284;511145.b4284;;511145.b4284;Pseudogene, IS911 transposase B,IS, phage, Tn, Transposon-related functions, extrachromosomal, transposon related;protein;Escherichia coli K12;#NV;;23.0;74.0;3.217391304347826;8.0;14.0
155603;ibsA;511145.b4667;511145.b4667;;511145.b4667;Toxic membrane protein;protein;Escherichia coli K12;#NV;;10.0;22.0;2.2;4.0;5.0
155606;ibsB;511145.b4668;511145.b4668;;511145.b4668;Toxic membrane protein;protein;Escherichia coli K12;#NV;;10.0;22.0;2.2;4.0;5.0
155609;ibsC;511145.b4665;511145.b4665;;511145.b4665;Toxic membrane protein;protein;Escherichia coli K12;#NV;;21.0;47.0;2.238095238095238;8.0;12.0
155612;ibsD;511145.b4664;511145.b4664;;511145.b4664;Toxic membrane protein;protein;Escherichia coli K12;#NV;;10.0;22.0;2.2;4.0;5.0
155615;ibsE;511145.b4666;511145.b4666;;511145.b4666;Toxic membrane protein;protein;Escherichia coli K12;#NV;;22.0;99.0;4.5;5.0;16.0
155618;insB1-3;511145.b0274;511145.b0274;;511145.b0274;Pseudogene;protein;Escherichia coli K12;#NV;;13.0;56.0;4.3076923076923075;11.0;1.0
150635;thrL;511145.b0001;511145.b0001;P0AD86;511145.b0001;Thr operon leader peptide, This protein is involved in control of the biosynthesis of threonine.;protein;Escherichia coli K12;eco:b0001;none;63.0;367.0;5.825396825396825;5.0;57.0
143588;thrA;511145.b0002;511145.b0002;P00561;511145.b0002;Bifunctional: aspartokinase I (N-terminal), homoserine dehydrogenase I (C-terminal), Protein involved in threonine biosynthetic process, methionine biosynthetic process and homoserine biosynthetic process;protein;Escherichia coli K12;eco:b0002;Enzymes;438.0;3534.0;8.068493150684931;54.0;383.0
147386;thrB;511145.b0003;511145.b0003;P00547;511145.b0003;Homoserine kinase, Catalyzes the ATP-dependent phosphorylation of L-homoserine to L-homoserine phosphate. Is also able to phosphorylate the hydroxy group on gamma-carbon of L-homoserine analogs when the functional group at the alpha-position is a carboxyl, an ester, or even a hydroxymethyl group. Neither L-threonine nor L-serine are substrates of the enzyme.;protein;Escherichia coli K12;eco:b0003;Enzymes;177.0;1046.0;5.909604519774011;21.0;155.0
146303;thrC;511145.b0004;511145.b0004;P00934;511145.b0004;L-threonine synthase, Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine. To a lesser extent, is able to slowly catalyze the deamination of L-threonine into alpha-ketobutyrate and that of L-serine and 3-chloroalanine into pyruvate. Is also able to rapidly convert vinylglycine to threonine, which proves that the pyridoxal p-quinonoid of vinylglycine is an intermediate in the TS reaction.;protein;Escherichia coli K12;eco:b0004;Enzymes;133.0;936.0;7.037593984962406;14.0;118.0
150647;yaaX;511145.b0005;511145.b0005;P75616;511145.b0005;DUF2502 family putative periplasmic protein, To E.coli YpeC.;protein;Escherichia coli K12;eco:b0005;none;1.0;0.0;0.0;0.0;0.0
150107;yaaA;511145.b0006;511145.b0006;P0A8I3;511145.b0006;Peroxide resistance protein, lowers intracellular iron, Involved in the cellular response to hydrogen peroxide (H(2)O(2)) stress. During H(2)O(2) stress, prevents oxidative damage to both DNA and proteins by diminishing the amount of unincorporated iron within the cell.;protein;Escherichia coli K12;eco:b0006;none;1.0;0.0;0.0;0.0;0.0
150644;yaaJ;511145.b0007;511145.b0007;P30143;511145.b0007;Putative transporter, Inner membrane transport protein;protein;Escherichia coli K12;eco:b0007;none;11.0;28.0;2.5454545454545454;1.0;9.0
145373;talB;511145.b0008;511145.b0008;P0A870;511145.b0008;Transaldolase B, Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway.;protein;Escherichia coli K12;eco:b0008;Enzymes;392.0;3864.0;9.857142857142858;35.0;356.0
144890;mog;511145.b0009;511145.b0009;P0AF03;511145.b0009;Molybdochelatase incorporating molybdenum into molybdopterin, Catalyzes the adenylation of molybdopterin as part of the biosynthesis of the molybdenum-cofactor, Belongs to the MoaB/Mog family.;protein;Escherichia coli K12;eco:b0009;Enzymes;38.0;146.0;3.8421052631578947;8.0;29.0
150242;satP;511145.b0010;511145.b0010;P0AC98;511145.b0010;Succinate-acetate transporter, Uptake of acetate and succinate. Transport is energetically dependent on the protonmotive force.;protein;Escherichia coli K12;eco:b0010;none;10.0;14.0;1.4;3.0;6.0
150671;yaaW;511145.b0011;511145.b0011;P75617;511145.b0011;UPF0174 family protein, Belongs to the UPF0174 family.;protein;Escherichia coli K12;eco:b0011;none;27.0;83.0;3.074074074074074;5.0;21.0
150650;yaaI;511145.b0013;511145.b0013;P28696;511145.b0013;UPF0412 family protein, Belongs to the UPF0412 family.;protein;Escherichia coli K12;eco:b0013;none;7.0;8.0;1.1428571428571428;2.0;4.0
144713;dnaK;511145.b0014;511145.b0014;P0A6Y8;511145.b0014;Chaperone Hsp70, with co-chaperone DnaJ, Plays an essential role in the initiation of phage lambda DNA replication, where it acts in an ATP-dependent fashion with the DnaJ protein to release lambda O and P proteins from the preprimosomal complex. DnaK is also involved in chromosomal DNA replication, possibly through an analogous interaction with the DnaA protein. Also participates actively in the response to hyperosmotic shock.;protein;Escherichia coli K12;eco:b0014;Messenger RNA biogenesis;696.0;9340.0;13.419540229885058;52.0;643.0
144716;dnaJ;511145.b0015;511145.b0015;P08622;511145.b0015;Chaperone Hsp40, DnaK co-chaperone, Interacts with DnaK and GrpE to disassemble a protein complex at the origins of replication of phage lambda and several plasmids. Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins and by disaggregating proteins, also in an autonomous, DnaK-independent fashion. Unfolded proteins bind initially to DnaJ, upon interaction with the DnaJ-bound protein, DnaK hydrolyzes its bound ATP, resulting in the formation of a stable complex. GrpE releases ADP from DnaK, ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. ECO:0000269|PubMed:15302880, ECO:0000269|PubMed:15485812,;protein;Escherichia coli K12;eco:b0015;Chaperones and folding catalysts;408.0;5969.0;14.629901960784315;34.0;373.0
150656;mokC;511145.b0018;511145.b0018;P33236;511145.b0018;Regulatory protein for HokC, overlaps CDS of hokC, Might be the toxic component of a type I toxin-antitoxin (TA) system (By similarity). Regulatory peptide which completely overlaps hokC and enables hokC expression, Belongs to the Hok/Gef family.;protein;Escherichia coli K12;eco:b0018;Prokaryotic defense system;1.0;0.0;0.0;0.0;0.0
146480;nhaA;511145.b0019;511145.b0019;P13738;511145.b0019;Sodium-proton antiporter, Na(+)/H(+) antiporter that extrudes sodium in exchange for external protons. Catalyzes the exchange of 2 H(+) per Na(+). Can mediate sodium uptake when a transmembrane pH gradient is applied. Active at alkaline pH. Activity is strongly down-regulated below pH 6.5, Belongs to the NhaA Na(+)/H(+) (TC 2.A.33) antiporter family.;protein;Escherichia coli K12;eco:b0019;Transporters;15.0;21.0;1.4;5.0;9.0
150659;nhaR;511145.b0020;511145.b0020;P0A9G2;511145.b0020;Transcriptional activator of nhaA, Plays a role in the positive regulation of NhaA. , Belongs to the LysR transcriptional regulatory family.;protein;Escherichia coli K12;eco:b0020;Transcription factors;6.0;7.0;1.1666666666666667;1.0;4.0
145673;rpsT;511145.b0023;511145.b0023;P0A7U7;511145.b0023;30S ribosomal subunit protein S20, Binds directly to 16S ribosomal RNA.;protein;Escherichia coli K12;eco:b0023;Ribosome;512.0;7907.0;15.443359375;106.0;405.0
155477;yaaY;511145.b0024;511145.b0024;P75620;511145.b0024;Uncharacterized protein;protein;Escherichia coli K12;eco:b0024;none;127.0;3971.0;31.26771653543307;2.0;124.0
147380;ribF;511145.b0025;511145.b0025;P0AG40;511145.b0025;Bifunctional riboflavin kinase/FAD synthetase, Catalyzes the phosphorylation of riboflavin to FMN followed by the adenylation of FMN to FAD, Belongs to the RibF family.;protein;Escherichia coli K12;eco:b0025;Enzymes;335.0;5726.0;17.092537313432835;22.0;312.0
150266;ileS;511145.b0026;511145.b0026;P00956;511145.b0026;isoleucyl-tRNA synthetase, Catalyzes the attachment of isoleucine to tRNA(Ile). As IleRS can inadvertently accommodate and process structurally similar amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile).;protein;Escherichia coli K12;eco:b0026;Amino acid related enzymes;328.0;6218.0;18.95731707317073;34.0;293.0
149099;lspA;511145.b0027;511145.b0027;P00804;511145.b0027;Prolipoprotein signal peptidase (signal peptidase II), This protein specifically catalyzes the removal of signal peptides from prolipoproteins.;protein;Escherichia coli K12;eco:b0027;Peptidases and inhibitors;136.0;711.0;5.227941176470588;10.0;125.0
148331;fkpB;511145.b0028;511145.b0028;P0AEM0;511145.b0028;FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase), PPIases accelerate the folding of proteins. Substrate specificity investigated with 'Suc-Ala-Xaa-Pro-Phe-4-nitroanilide' where Xaa is the amino acid tested, was found to be Phe > Leu >> Ile > Lys = Ala > Trp > His >> Gln.;protein;Escherichia coli K12;eco:b0028;Chaperones and folding catalysts;58.0;306.0;5.275862068965517;4.0;53.0
143321;ispH;511145.b0029;511145.b0029;P62623;511145.b0029;4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein, Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP/MEP pathway for isoprenoid precursor biosynthesis (PubMed:11818558, PubMed:11418107, PubMed:12706830, PubMed:19569147, PubMed:22137895). In vitro, can also hydrate acetylenes to aldehydes and ketones via anti-Markovnikov/Markovnikov addition . ECO:0000269|PubMed:11818558, ECO:0000269|PubMed:12706830, ECO:0000269|PubMed:19569147, ECO:0000269|PubMed:22137895,, Belongs to the IspH family.;protein;Escherichia coli K12;eco:b0029;Enzymes;210.0;3982.0;18.961904761904762;15.0;194.0
148919;rihC;511145.b0030;511145.b0030;P22564;511145.b0030;Ribonucleoside hydrolase 3, Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity with decreasing activity in the order uridine, xanthosine, inosine, adenosine, cytidine, guanosine.;protein;Escherichia coli K12;eco:b0030;none;70.0;335.0;4.785714285714286;3.0;66.0
143864;dapB;511145.b0031;511145.b0031;P04036;511145.b0031;Dihydrodipicolinate reductase, Catalyzes the conversion of 4-hydroxy-tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate. Can use both NADH and NADPH as a reductant, with NADH being twice as effective as NADPH. , Belongs to the DapB family.;protein;Escherichia coli K12;eco:b0031;Enzymes;177.0;956.0;5.401129943502825;17.0;159.0
144521;carA;511145.b0032;511145.b0032;P0A6F1;511145.b0032;Carbamoyl phosphate synthetase small subunit, glutamine amidotransferase, Protein involved in arginine biosynthetic process and pyrimidine nucleotide biosynthetic process;protein;Escherichia coli K12;eco:b0032;Enzymes;301.0;1908.0;6.338870431893688;36.0;264.0
144524;carB;511145.b0033;511145.b0033;P00968;511145.b0033;Carbamoyl-phosphate synthase large subunit, Protein involved in arginine biosynthetic process and pyrimidine nucleotide biosynthetic process, Belongs to the CarB family.;protein;Escherichia coli K12;eco:b0033;Enzymes;361.0;2733.0;7.570637119113574;42.0;318.0
150692;caiF;511145.b0034;511145.b0034;P0AE58;511145.b0034;Cai operon transcriptional activator, Potential transcriptional activator of carnitine metabolism.;protein;Escherichia coli K12;eco:b0034;Transcription factors;78.0;459.0;5.884615384615385;3.0;74.0
155306;caiE;511145.b0035;511145.b0035;P39206;511145.b0035;Stimulator of CaiD and CaiB enzyme activities, Overproduction of CaiE stimulates the activity of CaiB and CaiD, Belongs to the transferase hexapeptide repeat family.;protein;Escherichia coli K12;eco:b0035;none;22.0;79.0;3.590909090909091;5.0;16.0
149645;caiD;511145.b0036;511145.b0036;P31551;511145.b0036;carnitinyl-CoA dehydratase, Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA.;protein;Escherichia coli K12;eco:b0036;Enzymes;48.0;239.0;4.979166666666667;10.0;37.0
150290;caiC;511145.b0037;511145.b0037;P31552;511145.b0037;Putative crotonobetaine/carnitine-CoA ligase, Catalyzes the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle. Also has activity toward crotonobetaine and gamma-butyrobetaine. , Belongs to the ATP-dependent AMP-binding enzyme family.;protein;Escherichia coli K12;eco:b0037;Enzymes;28.0;110.0;3.9285714285714284;8.0;19.0
146375;caiB;511145.b0038;511145.b0038;P31572;511145.b0038;Crotonobetainyl CoA:carnitine CoA transferase, Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl-CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA or L- carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA. , Belongs to the CoA-transferase III family. CaiB subfamily.;protein;Escherichia coli K12;eco:b0038;Enzymes;32.0;128.0;4.0;8.0;23.0
144029;caiA;511145.b0039;511145.b0039;P60584;511145.b0039;Crotonobetaine reductase subunit II, FAD-binding, Catalyzes the reduction of crotonobetainyl-CoA to gamma- butyrobetainyl-CoA . The electron donor could be the FixA/FixB complex .;protein;Escherichia coli K12;eco:b0039;Enzymes;176.0;1102.0;6.261363636363637;19.0;156.0
148505;caiT;511145.b0040;511145.b0040;P31553;511145.b0040;Putative transporter, Catalyzes the exchange of L-carnitine for gamma-butyrobetaine and related betaines.;protein;Escherichia coli K12;eco:b0040;Transporters;22.0;79.0;3.590909090909091;5.0;16.0
153494;fixA;511145.b0041;511145.b0041;P60566;511145.b0041;Anaerobic carnitine reduction putative electron transfer flavoprotein subunit, Required for anaerobic carnitine reduction. May bring reductant to CaiA, Belongs to the ETF beta-subunit/FixA family.;protein;Escherichia coli K12;eco:b0041;none;81.0;299.0;3.691358024691358;16.0;64.0
155252;fixB;511145.b0042;511145.b0042;P31574;511145.b0042;Protein FixB, Required for anaerobic carnitine reduction. May bring reductant to CaiA, Belongs to the ETF alpha-subunit/FixB family.;protein;Escherichia coli K12;eco:b0042;Exosome;54.0;177.0;3.2777777777777777;15.0;38.0
144098;fixC;511145.b0043;511145.b0043;P68644;511145.b0043;Putative oxidoreductase, Could be part of an electron transfer system required for anaerobic carnitine reduction, Belongs to the ETF-QO/FixC family.;protein;Escherichia coli K12;eco:b0043;none;34.0;120.0;3.5294117647058822;9.0;24.0
154871;fixX;511145.b0044;511145.b0044;P68646;511145.b0044;Putative 4Fe-4S ferredoxin-type protein, Could be part of an electron transfer system required for anaerobic carnitine reduction. Could be a 3Fe-4S cluster-containing protein, Belongs to the bacterial-type ferredoxin family. FixX subfamily.;protein;Escherichia coli K12;eco:b0044;none;48.0;162.0;3.375;11.0;36.0
150668;yaaU;511145.b0045;511145.b0045;P31679;511145.b0045;Putative MFS sugar transporter, Putative transport protein;protein;Escherichia coli K12;eco:b0045;Transporters;29.0;94.0;3.2413793103448274;6.0;22.0
144122;kefF;511145.b0046;511145.b0046;P0A754;511145.b0046;Potassium-efflux system ancillary protein for KefC, glutathione-regulated, Regulatory subunit of a potassium efflux system that confers protection against electrophiles. Required for full activity of KefC. Shows redox enzymatic activity, but this enzymatic activity is not required for activation of KefC. Can use a wide range of substrates, including electrophilic quinones, and its function could be to reduce the redox toxicity of electrophilic quinones in parallel with acting as triggers for the KefC efflux system. ECO:0000269|PubMed:11053405, ECO:0000269|PubMed:19523906,, Belongs to the NAD(P)H dehydrogenase (quinone) family. KefF subfamily.;protein;Escherichia coli K12;eco:b0046;Transporters;20.0;37.0;1.85;4.0;15.0
149423;kefC;511145.b0047;511145.b0047;P03819;511145.b0047;Potassium:proton antiporter, Pore-forming subunit of a potassium efflux system that confers protection against electrophiles. Catalyzes K(+)/H(+) antiport. Can also export rubidium, lithium and sodium. Rule:MF_01413, ECO:0000269|PubMed:17679694,;protein;Escherichia coli K12;eco:b0047;Transporters;21.0;36.0;1.7142857142857142;6.0;14.0
144080;folA;511145.b0048;511145.b0048;P0ABQ4;511145.b0048;Dihydrofolate reductase, Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis.;protein;Escherichia coli K12;eco:b0048;Enzymes;187.0;1186.0;6.342245989304812;15.0;171.0
149249;apaH;511145.b0049;511145.b0049;P05637;511145.b0049;Diadenosine tetraphosphatase, Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP, Belongs to the Ap4A hydrolase family.;protein;Escherichia coli K12;eco:b0049;Enzymes;124.0;786.0;6.338709677419355;8.0;115.0
150674;apaG;511145.b0050;511145.b0050;P62672;511145.b0050;Protein associated with Co2+ and Mg2+ efflux;protein;Escherichia coli K12;eco:b0050;none;79.0;570.0;7.215189873417722;4.0;74.0
144422;rsmA;511145.b0051;511145.b0051;P06992;511145.b0051;16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent, Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits. Has also a DNA glycosylase/AP lyase activity that removes C mispaired with oxidized T from DNA, and may play a role in protection of DNA against oxidative stress.;protein;Escherichia coli K12;eco:b0051;Ribosome biogenesis;353.0;6513.0;18.45042492917847;44.0;308.0
143567;pdxA;511145.b0052;511145.b0052;P19624;511145.b0052;4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent, Catalyzes the NAD(P)-dependent oxidation of 4-(phosphooxy)-L- threonine (HTP) into 2-amino-3-oxo-4-(phosphooxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP), Belongs to the PdxA family.;protein;Escherichia coli K12;eco:b0052;Enzymes;154.0;1170.0;7.597402597402597;11.0;142.0
145709;surA;511145.b0053;511145.b0053;P0ABZ6;511145.b0053;Peptidyl-prolyl cis-trans isomerase (PPIase), Chaperone involved in the correct folding and assembly of outer membrane proteins, such as OmpA, OmpF and LamB. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane- associated steps of protein maturation. Essential for the survival of E.coli in stationary phase. Required for pilus biogenesis.;protein;Escherichia coli K12;eco:b0053;Chaperones and folding catalysts;356.0;4899.0;13.76123595505618;30.0;325.0
149894;lptD;511145.b0054;511145.b0054;P31554;511145.b0054;LPS assembly OM complex LptDE, beta-barrel component, Together with LptE, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane. Contributes to n-hexane resistance. ECO:0000269|PubMed:12207697, ECO:0000269|PubMed:12724388, ECO:0000269|PubMed:16861298, ECO:0000269|PubMed:18424520, ECO:0000269|PubMed:20203010, ECO:0000269|PubMed:21339611,;protein;Escherichia coli K12;eco:b0054;Transporters;359.0;3993.0;11.122562674094707;30.0;328.0
155300;djlA;511145.b0055;511145.b0055;P31680;511145.b0055;Membrane-anchored DnaK co-chaperone, DNA-binding protein, Regulatory DnaK co-chaperone. Direct interaction between DnaK and DjlA is needed for the induction of the wcaABCDE operon, involved in the synthesis of a colanic acid polysaccharide capsule, possibly through activation of the RcsB/RcsC phosphotransfer signaling pathway. The colanic acid capsule may help the bacterium survive conditions outside the host. ECO:0000269|PubMed:11106641, ECO:0000269|PubMed:11758943,;protein;Escherichia coli K12;eco:b0055;Chaperones and folding catalysts;66.0;354.0;5.363636363636363;4.0;61.0
147776;rluA;511145.b0058;511145.b0058;P0AA37;511145.b0058;Dual-specificity RNA pseudouridine synthase RluA, Dual specificity enzyme that catalyzes the synthesis of pseudouridine from uracil-746 in 23S ribosomal RNA and from uracil-32 in the anticodon stem and loop of transfer RNAs.;protein;Escherichia coli K12;eco:b0058;Ribosome biogenesis;87.0;315.0;3.6206896551724137;11.0;75.0
