nodeID,drug_name,x_id,cancer_gene,brite
O00264,SB590885;Dabrafenib;PF-06747775,PGRMC1,False,Exosome
O00273,Savolitinib,DFFA,False,none
O00299,Afatinib;LIMK1 inhibitor BMS4;Dabrafenib;PLX-4720,CLIC1,False,Exosome
O00303,Afatinib;AZD5582;PLX-4720;Dabrafenib;PF-06747775,EIF3F,False,Translation factors
O00330,PF-06747775,PDHX,False,none
O00401,SB590885;GDC-0879;Dabrafenib;PLX-4720,WASL,False,Membrane trafficking
O00410,Afatinib;PF-06747775;GSK429286A,IPO5,False,Ribosome biogenesis
O00418,JQ1,EEF2K,False,Protein kinases
O00422,Dabrafenib;PLX-4720,SAP18,False,Messenger RNA biogenesis
O00423,AZD5582,EML1,False,Cytoskeleton proteins
O00442,Afatinib;PF-06747775,RTCA,False,Enzymes
O00443,Ruxolitinib,PIK3C2A,False,Enzymes
O00469,GSK269962A;TGX221;PF-06747775;SB590885;GSK429286A,PLOD2,False,Enzymes
O00483,WEHI-539;Nilotinib,NDUFA4,False,none
O00487,Afatinib;PLX-4720;Dabrafenib;PF-06747775;LIMK1 inhibitor BMS4,PSMD14,False,Peptidases and inhibitors
O00515,Afatinib,LAD1,False,none
O00534,Nilotinib,VWA5A,False,Domain-containing proteins not elsewhere classified
O00541,SB590885,PES1,False,Ribosome biogenesis
O00560,SB590885;GDC-0879;Dabrafenib;PLX-4720,SDCBP,False,Exosome
O00567,SB590885;Savolitinib,NOP56,False,Ribosome biogenesis
O00571,Afatinib;AZD5582,DDX3X,True,Messenger RNA biogenesis
O00592,SB590885,PODXL,False,none
O00625,SB590885;GDC-0879;Dabrafenib;PLX-4720,PIR,False,Enzymes
O00629,PD173074;Savolitinib,KPNA4,False,none
O00754,WEHI-539;Dabrafenib,MAN2B1,False,Enzymes
O14578,Dabrafenib;PLX-4720,CIT,False,Protein kinases
O14579,Afatinib,COPE,False,Membrane trafficking
O14617,Afatinib;Savolitinib,AP3D1,False,Membrane trafficking
O14656,SB590885;GDC-0879,TOR1A,False,Chaperones and folding catalysts
O14672,Afatinib,ADAM10,False,Peptidases and inhibitors
O14681,Afatinib,EI24,False,none
O14686,Dabrafenib,KMT2D,True,Chromosome and associated proteins
O14737,Afatinib;Savolitinib,PDCD5,False,none
O14745,Afatinib;PF-06747775;Savolitinib,SLC9A3R1,False,Transporters
O14773,SB590885;GDC-0879;Dabrafenib;PLX-4720,TPP1,False,Peptidases and inhibitors
O14776,TGX221,TCERG1,False,Spliceosome
O14786,Afatinib,NRP1,False,CD molecules
O14802,Savolitinib,POLR3A,False,Transcription machinery
O14818,Afatinib;Crizotinib,PSMA7,False,Peptidases and inhibitors
O14828,Dabrafenib;A-1155463;Crizotinib,SCAMP3,False,Membrane trafficking
O14874,AZD5582;IAP_7638;Savolitinib,BCKDK,False,Protein kinases
O14908,Dabrafenib;PLX-4720,GIPC1,False,Membrane trafficking
O14920,Crizotinib,IKBKB,False,Protein kinases
O14964,Afatinib;Dabrafenib;PLX-4720;Crizotinib,HGS,False,Membrane trafficking
O14974,GSK429286A,PPP1R12A,False,Protein phosphatases and associated proteins
O14979,Dabrafenib,HNRNPDL,False,Spliceosome
O14980,Afatinib;IAP_7638,XPO1,True,Messenger RNA biogenesis
O15020,Afatinib;Crizotinib,SPTBN2,False,Cytoskeleton proteins
O15027,Afatinib;PLX-4720;Dabrafenib;PF-06747775;IAP_7638,SEC16A,False,Membrane trafficking
O15031,Afatinib;Dabrafenib;Cetuximab;Nilotinib;PF-06747775;SB590885;Lapatinib,PLXNB2,False,none
O15042,SB590885;GDC-0879;Dabrafenib;PLX-4720,U2SURP,False,Spliceosome
O15047,PF-06747775,SETD1A,False,Chromosome and associated proteins
O15061,GDC-0879;CAY10566;Dabrafenib;SB590885;Ara-G,SYNM,False,Cytoskeleton proteins
O15067,Afatinib;PF-06747775,PFAS,False,Enzymes
O15085,Dabrafenib,ARHGEF11,False,Membrane trafficking
O15116,Afatinib,LSM1,False,Messenger RNA biogenesis
O15127,Afatinib;Savolitinib,SCAMP2,False,Membrane trafficking
O15143,AZD5582;TGX221;PLX-4720;Dabrafenib;Crizotinib,ARPC1B,False,Membrane trafficking
O15144,Crizotinib;Dabrafenib;IAP_7638;AZD5582,ARPC2,False,Membrane trafficking
O15145,Crizotinib;Dabrafenib;IAP_7638;AZD5582,ARPC3,False,Membrane trafficking
O15160,SB590885,POLR1C,False,Transcription machinery
O15164,Ara-G,TRIM24,False,Protein kinases
O15173,SB590885;AZD5582,PGRMC2,False,Exosome
O15212,Afatinib;Savolitinib,PFDN6,False,Chaperones and folding catalysts
O15226,Afatinib;PF-06747775,NKRF,False,Transcription factors
O15228,Capmatinib,GNPAT,False,Enzymes
O15230,Afatinib,LAMA5,False,none
O15269,GDC-0879;Afatinib;PLX-4720;Cetuximab;Dabrafenib;PF-06747775;SB590885,SPTLC1,False,Amino acid related enzymes
O15270,Afatinib,SPTLC2,False,Amino acid related enzymes
O15294,Afatinib,OGT,False,Glycosyltransferases
O15347,AC220;TGX221;Crizotinib,HMGB3,False,Chromosome and associated proteins
O15355,Afatinib;IAP_5620;Savolitinib;AZD5582;IAP_7638,PPM1G,False,Protein phosphatases and associated proteins
O15357,AC220,INPPL1,True,Membrane trafficking
O15371,Afatinib;AZD5582;Dabrafenib;PF-06747775;IAP_7638,EIF3D,False,Translation factors
O15372,Afatinib;Dabrafenib;PLX-4720;AZD5582,EIF3H,False,Translation factors
O15381,Dabrafenib,NVL,False,Ribosome biogenesis
O15382,SB590885;Dabrafenib;PLX-4720,BCAT2,False,Amino acid related enzymes
O15400,GDC-0879;Savolitinib;PLX-4720;Dabrafenib;SB590885,STX7,False,Membrane trafficking
O15460,WH-4-023;GSK269962A;TGX221;PD173074;PF-06747775;AZD4547;GSK429286A,P4HA2,False,Enzymes
O15511,Dabrafenib;Crizotinib,ARPC5,False,Membrane trafficking
O15541,AC220,RNF113A,False,Spliceosome
O43148,Dabrafenib;AZD5582,RNMT,False,Messenger RNA biogenesis
O43159,Savolitinib,RRP8,False,Ribosome biogenesis
O43169,AC220,CYB5B,False,none
O43172,Dabrafenib,PRPF4,False,Spliceosome
O43175,Afatinib;AZD5582;Venetoclax;IAP_7638;Crizotinib,PHGDH,False,Exosome
O43181,SB590885;WEHI-539,NDUFS4,False,none
O43242,Afatinib;Savolitinib,PSMD3,False,Proteasome
O43264,Savolitinib,ZW10,False,Membrane trafficking
O43278,Afatinib;PF-06747775,SPINT1,False,Peptidases and inhibitors
O43290,Dabrafenib,SART1,False,Spliceosome
O43291,GSK429286A,SPINT2,False,Peptidases and inhibitors
O43390,Dabrafenib,HNRNPR,False,Spliceosome
O43395,Dabrafenib,PRPF3,False,Spliceosome
O43396,Afatinib;Venetoclax,TXNL1,False,none
O43402,Afatinib;IAP_5620;IAP_7638;AZD5582,EMC8,False,Membrane trafficking
O43414,NVP-BHG712,ERI3,False,Chromosome and associated proteins
O43432,Crizotinib;Afatinib;AZD5582,EIF4G3,False,Messenger RNA biogenesis
O43447,Afatinib;GSK1070916;TGX221;Ara-G,PPIH,False,Spliceosome
O43464,Savolitinib;Ara-G,HTRA2,False,Peptidases and inhibitors
O43491,Afatinib,EPB41L2,False,Domain-containing proteins not elsewhere classified
O43566,Savolitinib,RGS14,False,none
O43583,Crizotinib;IAP_5620;IAP_7638;AZD5582,DENR,False,Messenger RNA biogenesis
O43598,IAP_7638,DNPH1,False,Enzymes
O43615,Ruxolitinib,TIMM44,False,Mitochondrial biogenesis
O43617,Afatinib;Savolitinib;Crizotinib,TRAPPC3,False,Membrane trafficking
O43660,IAP_5620;AZD5582;Dabrafenib;SB590885;IAP_7638,PLRG1,False,Spliceosome
O43665,Dabrafenib,RGS10,False,none
O43670,AC220;Crizotinib;AZD5582,ZNF207,False,none
O43678,AC220;WEHI-539,NDUFA2,False,none
O43684,Afatinib;AZD5582,BUB3,False,Spliceosome
O43707,WH-4-023;TGX221;Venetoclax,ACTN4,False,Membrane trafficking
O43719,Dabrafenib,HTATSF1,False,Spliceosome
O43752,Afatinib;PF-06747775,STX6,False,Membrane trafficking
O43759,Dabrafenib,SYNGR1,False,none
O43760,Afatinib,SYNGR2,False,none
O43765,Afatinib;IAP_7638,SGTA,False,Chaperones and folding catalysts
O43795,Afatinib;Cetuximab;PF-06747775,MYO1B,False,Protein phosphatases and associated proteins
O43818,SB590885;AZD5582,RRP9,False,Ribosome biogenesis
O43824,WEHI-539,GTPBP6,False,none
O43920,AC220;SB590885,NDUFS5,False,none
O60216,Dabrafenib;Venetoclax;Ara-G,RAD21,True,Chromosome and associated proteins
O60218,Dabrafenib,AKR1B10,False,Enzymes
O60231,Afatinib,DHX16,False,Spliceosome
O60245,Venetoclax,PCDH7,False,Protein phosphatases and associated proteins
O60256,IAP_5620;IAP_7638;AZD5582,PRPSAP2,False,none
O60264,Dabrafenib;PLX-4720;Savolitinib,SMARCA5,False,Transcription machinery
O60313,Afatinib;Savolitinib,OPA1,False,Mitochondrial biogenesis
O60341,Savolitinib;Venetoclax;Ara-G,KDM1A,False,Chromosome and associated proteins
O60462,Afatinib,NRP2,False,Membrane trafficking
O60488,Dabrafenib;Venetoclax,ACSL4,False,Lipid biosynthesis proteins
O60502,Savolitinib,OGA,False,Enzymes
O60507,WEHI-539,TPST1,False,Enzymes
O60508,Dabrafenib;PLX-4720,CDC40,False,Spliceosome
O60568,Savolitinib;AZD5582;TGX221;PLX-4720;Dabrafenib;Venetoclax,PLOD3,False,Glycosyltransferases
O60610,Savolitinib;Nilotinib;AZD5582,DIAPH1,False,Cytoskeleton proteins
O60645,TL-2-105,EXOC3,False,Membrane trafficking
O60664,LIMK1 inhibitor BMS4;Dabrafenib;PF-06747775,PLIN3,False,Membrane trafficking
O60678,Savolitinib,PRMT3,False,Chromosome and associated proteins
O60684,Afatinib;PF-06747775,KPNA6,False,Chromosome and associated proteins
O60701,IAP_7638;AZD5582,UGDH,False,Enzymes
O60749,Afatinib;Crizotinib,SNX2,False,Membrane trafficking
O60762,BIX-02188,DPM1,False,Glycosyltransferases
O60763,Dabrafenib;WEHI-539,USO1,False,none
O60784,SB590885;Dabrafenib;PLX-4720,TOM1,False,Membrane trafficking
O60826,Dabrafenib,CCDC22,False,Membrane trafficking
O60831,Afatinib;PF-06747775,PRAF2,False,Membrane trafficking
O60832,Afatinib;Dabrafenib;PLX-4720;Savolitinib,DKC1,False,Ribosome biogenesis
O60841,Afatinib;AZD5582,EIF5B,False,Translation factors
O60869,Afatinib,EDF1,False,none
O60884,IAP_7638;AZD5582,DNAJA2,False,Chaperones and folding catalysts
O60885,Afatinib,BRD4,False,Protein kinases
O60888,Afatinib;PF-06747775,CUTA,False,none
O60925,Afatinib;Dabrafenib;Savolitinib,PFDN1,False,Chaperones and folding catalysts
O75054,SB590885,IGSF3,False,Exosome
O75083,Afatinib;AZD5582;PLX-4720;IAP_7638;Dabrafenib;LIMK1 inhibitor BMS4,WDR1,False,Domain-containing proteins not elsewhere classified
O75152,Ara-G,ZC3H11A,True,Messenger RNA biogenesis
O75165,Dabrafenib;Crizotinib,DNAJC13,False,Spliceosome
O75175,Afatinib;AZD5582,CNOT3,True,Messenger RNA biogenesis
O75208,PF-06747775,COQ9,False,none
O75223,PF-06747775;Savolitinib,GGCT,False,Enzymes
O75251,Savolitinib,NDUFS7,False,Enzymes
O75306,SB590885;WEHI-539;Savolitinib,NDUFS2,False,Enzymes
O75312,Afatinib;Savolitinib,ZPR1,False,none
O75323,Afatinib;CAY10566;PF-06747775,NIPSNAP2,False,none
O75347,Afatinib;GDC-0879;Savolitinib;PLX-4720;Dabrafenib;SB590885;IAP_7638;Crizotinib,TBCA,False,Cytoskeleton proteins
O75348,Afatinib;GDC-0879;PLX-4720;Dabrafenib;SB590885,ATP6V1G1,False,none
O75351,Venetoclax;IAP_7638;AZD5582,VPS4B,False,Membrane trafficking
O75368,SB590885;Dabrafenib,SH3BGRL,False,Domain-containing proteins not elsewhere classified
O75380,AC220;WEHI-539;PF-06747775,NDUFS6,False,none
O75381,IAP_7638;AZD5582,PEX14,False,Membrane trafficking
O75382,PF-06747775,TRIM3,False,Ubiquitin system
O75396,Afatinib;TGX221;Savolitinib,SEC22B,False,Membrane trafficking
O75400,SB590885;GDC-0879;Dabrafenib;PLX-4720,PRPF40A,False,Spliceosome
O75431,Savolitinib,MTX2,False,Mitochondrial biogenesis
O75436,IAP_7638;AZD5582,VPS26A,False,Membrane trafficking
O75438,PF-06747775,NDUFB1,False,none
O75439,Afatinib,PMPCB,False,Peptidases and inhibitors
O75449,IAP_7638,KATNA1,False,Cytoskeleton proteins
O75475,Afatinib;Venetoclax;Lapatinib;PF-06747775,PSIP1,True,Spliceosome
O75477,IAP_5620;AZD5582;Linifanib;IAP_7638;Crizotinib,ERLIN1,False,Ubiquitin system
O75489,WEHI-539;Savolitinib,NDUFS3,False,Enzymes
O75525,Venetoclax;Savolitinib,KHDRBS3,False,Spliceosome
O75531,Savolitinib,BANF1,False,Chromosome and associated proteins
O75533,Dabrafenib;Savolitinib,SF3B1,True,Spliceosome
O75569,Afatinib;Venetoclax;IAP_7638;AZD5582,PRKRA,False,Chromosome and associated proteins
O75608,AZD5582,LYPLA1,False,Enzymes
O75616,Afatinib,ERAL1,False,Ribosome biogenesis
O75643,SB590885;Dabrafenib;PLX-4720;Savolitinib,SNRNP200,False,Spliceosome
O75663,GDC-0879;Afatinib;SB590885,TIPRL,False,Protein phosphatases and associated proteins
O75683,Afatinib;PF-06747775,SURF6,False,none
O75688,AC220;Savolitinib,PPM1B,False,Protein phosphatases and associated proteins
O75694,IAP_5620;Savolitinib;AZD5582;Dabrafenib;SB590885;IAP_7638,NUP155,False,Messenger RNA biogenesis
O75695,Savolitinib,RP2,False,Cilium and associated proteins
O75718,Afatinib;GSK269962A;TGX221;Ponatinib;Dabrafenib;PF-06747775;AZD4547;GSK429286A,CRTAP,False,Chaperones and folding catalysts
O75746,Crizotinib,SLC25A12,False,Transporters
O75781,Imatinib,PALM,False,none
O75792,Afatinib;Venetoclax;IAP_7638,RNASEH2A,False,DNA replication proteins
O75821,Afatinib;PLX-4720;PF-06747775;AZD5582,EIF3G,False,Translation factors
O75822,IAP_7638;AZD5582,EIF3J,False,Ribosome biogenesis
O75828,SB590885;Dabrafenib;PLX-4720;AZD5582,CBR3,False,Enzymes
O75832,Crizotinib,PSMD10,False,Proteasome
O75874,Crizotinib;SB590885;IAP_7638;AZD5582,IDH1,True,Enzymes
O75880,Afatinib;CAY10566;AZD5582,SCO1,False,Mitochondrial biogenesis
O75886,PLX-4720,STAM2,False,Membrane trafficking
O75891,SB590885;Cabozantinib,ALDH1L1,False,Enzymes
O75911,IAP_7638,DHRS3,False,Enzymes
O75915,Savolitinib,ARL6IP5,False,Membrane trafficking
O75934,Dabrafenib;IAP_7638;AZD5582,BCAS2,False,Spliceosome
O75935,Afatinib;PF-06747775,DCTN3,False,Chromosome and associated proteins
O75937,Crizotinib;Afatinib;PF-06747775;AZD5582,DNAJC8,False,Spliceosome
O75940,Venetoclax,SMNDC1,False,Spliceosome
O75955,SB590885;WEHI-539;Ara-G,FLOT1,False,Membrane trafficking
O75976,WEHI-539;Savolitinib,CPD,False,Peptidases and inhibitors
O76003,Afatinib,GLRX3,False,none
O76021,SB590885;Afatinib,RSL1D1,False,Ribosome biogenesis
O76031,Afatinib,CLPX,False,Chaperones and folding catalysts
O76070,AZD5582,SNCG,False,Transporters
O76080,IAP_7638,ZFAND5,False,Domain-containing proteins not elsewhere classified
O76094,Afatinib;IAP_7638;AZD5582,SRP72,False,Secretion system
O94763,AZD5582,URI1,False,Protein phosphatases and associated proteins
O94766,Afatinib;AZD5582,B3GAT3,False,Glycosyltransferases
O94776,Ara-G,MTA2,False,Transcription factors
O94804,SB590885;GDC-0879;Dabrafenib;PLX-4720,STK10,False,Protein kinases
O94819,Temozolomide,KBTBD11,False,Ubiquitin system
O94851,GSK429286A,MICAL2,False,Membrane trafficking
O94874,Afatinib;PF-06747775,UFL1,False,Ubiquitin system
O94880,Savolitinib;Afatinib;Ara-G,PHF14,False,none
O94888,WH-4-023;TGX221,UBXN7,False,Ubiquitin system
O94905,WEHI-539;AZD5582,ERLIN2,False,Ubiquitin system
O94906,SB590885;Savolitinib,PRPF6,False,Spliceosome
O94919,SB590885;AZD4547;Dabrafenib;PLX-4720,ENDOD1,False,none
O94925,WH-4-023;Savolitinib;TGX221;Dabrafenib;PF-06747775,GLS,False,Enzymes
O95104,Dabrafenib,SCAF4,False,Transcription machinery
O95155,Ara-G,UBE4B,False,Ubiquitin system
O95159,Afatinib;IAP_5620;AZD5582;Savolitinib;IAP_7638,ZFPL1,False,none
O95168,AC220;Afatinib;WEHI-539;SB590885,NDUFB4,False,none
O95169,SB590885;Nilotinib;WEHI-539,NDUFB8,False,none
O95182,AC220;WEHI-539;A-1155463,NDUFA7,False,none
O95218,Afatinib;Linifanib;Crizotinib,ZRANB2,False,Spliceosome
O95219,Afatinib,SNX4,False,Membrane trafficking
O95232,Venetoclax;IAP_7638;AZD5582,LUC7L3,False,none
O95239,Afatinib;PF-06747775,KIF4A,False,Cytoskeleton proteins
O95248,Afatinib,SBF1,False,Protein phosphatases and associated proteins
O95292,Afatinib;Axitinib;PF-06747775,VAPB,False,Membrane trafficking
O95297,SB590885,MPZL1,False,Cell adhesion molecules
O95299,SB590885;WEHI-539,NDUFA10,False,none
O95347,Afatinib,SMC2,False,Chromosome and associated proteins
O95372,Crizotinib,LYPLA2,False,Enzymes
O95373,Afatinib;PF-06747775;GSK429286A,IPO7,False,Ribosome biogenesis
O95400,Afatinib;Ara-G,CD2BP2,False,Protein phosphatases and associated proteins
O95425,Afatinib,SVIL,False,Cytoskeleton proteins
O95433,Afatinib;AZD5582,AHSA1,False,Chaperones and folding catalysts
O95487,SB590885,SEC24B,False,Membrane trafficking
O95571,Afatinib;PF-06747775;Savolitinib,ETHE1,False,Mitochondrial biogenesis
O95573,SB590885;GDC-0879;Dabrafenib;PLX-4720,ACSL3,False,Lipid biosynthesis proteins
O95613,Savolitinib,PCNT,False,Chromosome and associated proteins
O95630,Savolitinib,STAMBP,False,Peptidases and inhibitors
O95639,AZD5582,CPSF4,False,Transcription machinery
O95671,Crizotinib,ASMTL,False,Enzymes
O95696,Savolitinib,BRD1,False,Chromosome and associated proteins
O95721,Dabrafenib,SNAP29,False,Membrane trafficking
O95747,Afatinib;AZD5582;PLX-4720;Dabrafenib;PF-06747775;Lapatinib;GSK429286A,OXSR1,False,Protein kinases
O95757,AZD5582,HSPA4L,False,Chaperones and folding catalysts
O95758,Afatinib;PF-06747775;PLX-4720,PTBP3,False,Spliceosome
O95782,WH-4-023;Capmatinib;TGX221;Ponatinib;Venetoclax;SB590885;AZD4547;Linifanib,AP2A1,False,Membrane trafficking
O95793,AZD5582,STAU1,False,Protein phosphatases and associated proteins
O95816,AZD5582;Ruxolitinib,BAG2,False,Chaperones and folding catalysts
O95817,Savolitinib;AZD5582,BAG3,False,Chaperones and folding catalysts
O95825,AC220;Imatinib,CRYZL1,False,none
O95861,SB590885;GDC-0879;Dabrafenib,BPNT1,False,Transfer RNA biogenesis
O95865,Ara-G,DDAH2,False,Exosome
O95870,Savolitinib,ABHD16A,False,Peptidases and inhibitors
O95881,IAP_5620;AZD5582,TXNDC12,False,Membrane trafficking
O95983,Ara-G,MBD3,False,Chromosome and associated proteins
O96000,WEHI-539,NDUFB10,False,none
O96005,AZD5582,CLPTM1,False,none
O96019,Venetoclax;Ara-G;AZD5582,ACTL6A,False,Transcription machinery
P00167,Dabrafenib;PF-06747775,CYB5A,False,none
P00367,Afatinib;Pemetrexed;Cetuximab;PF-06747775;Lapatinib,GLUD1,False,Exosome
P00374,Savolitinib,DHFR,False,Enzymes
P00390,Crizotinib;IAP_7638;AZD5582,GSR,False,Enzymes
P00403,Afatinib;WEHI-539;Savolitinib,MT-CO2,False,Mitochondrial biogenesis
P00441,AZD5582,SOD1,False,Enzymes
P00492,Afatinib;Savolitinib,HPRT1,False,Enzymes
P00505,Afatinib;Dabrafenib;PF-06747775,GOT2,False,Amino acid related enzymes
P00558,Afatinib;GDC-0879;AZD5582;Savolitinib;LIMK1 inhibitor BMS4;PLX-4720;Dabrafenib;SB590885;IAP_7638,PGK1,False,Exosome
P00568,Afatinib;IAP_5620;Savolitinib;Venetoclax;IAP_7638,AK1,False,Exosome
P00749,IAP_7638;AZD5582,PLAU,False,Peptidases and inhibitors
P00813,Ara-G,ADA,False,Enzymes
P01111,Savolitinib,NRAS,True,Membrane trafficking
P02533,Afatinib,KRT14,False,Cytoskeleton proteins
P02538,Afatinib,KRT6A,False,Cytoskeleton proteins
P02765,SB590885,AHSG,False,Peptidases and inhibitors
P02786,SB590885;IAP_5620;IAP_7638;AZD5582,TFRC,False,Peptidases and inhibitors
P04004,Afatinib;Dabrafenib,VTN,False,Exosome
P04035,Axitinib,HMGCR,False,Enzymes
P04075,Afatinib;AZD5582;Savolitinib;PLX-4720;Dabrafenib;LIMK1 inhibitor BMS4,ALDOA,False,Membrane trafficking
P04080,GDC-0879;Savolitinib;PLX-4720;Dabrafenib;SB590885,CSTB,False,Peptidases and inhibitors
P04083,WEHI-539,ANXA1,False,Membrane trafficking
P04181,Crizotinib;Afatinib;Savolitinib,OAT,False,Amino acid related enzymes
P04264,SB590885;CAY10566,KRT1,False,Cytoskeleton proteins
P04406,Afatinib;GDC-0879;Savolitinib;PLX-4720;Dabrafenib;SB590885;LIMK1 inhibitor BMS4,GAPDH,False,Membrane trafficking
P04626,Afatinib;PF-06747775,ERBB2,True,Protein kinases
P04632,Dabrafenib;IAP_7638;AZD5582,CAPNS1,False,Peptidases and inhibitors
P04843,IAP_7638;IAP_5620;Venetoclax;AZD5582,RPN1,False,none
P04844,AC220;IAP_5620;IAP_7638;AZD5582,RPN2,False,none
P04899,Ponatinib;PLX-4720;TGX221;PLK4_0066;Dabrafenib;PF-06747775;GSK429286A,GNAI2,False,Exosome
P05026,Afatinib;PF-06747775;LIMK1 inhibitor BMS4;Crizotinib,ATP1B1,False,CD molecules
P05141,Afatinib;IAP_7638;Venetoclax;AZD5582,SLC25A5,False,Mitochondrial biogenesis
P05165,Afatinib;PF-06747775,PCCA,False,Enzymes
P05166,Afatinib;PF-06747775;PLX-4720;Savolitinib,PCCB,False,Enzymes
P05198,Afatinib;AZD5582,EIF2S1,False,Translation factors
P05204,Savolitinib,HMGN2,False,Chromosome and associated proteins
P05362,WEHI-539;IAP_7638;AZD5582,ICAM1,False,Exosome
P05386,Savolitinib;Motesanib;PLX-4720;PDGFR_0615;Dabrafenib,RPLP1,False,Ribosome
P05387,Afatinib;PLX-4720;CAY10566;Dabrafenib;WEHI-539;SB590885,RPLP2,False,Ribosome
P05388,Afatinib;PD173074;PLX-4720;AZD5582,RPLP0,False,Ribosome
P05412,Afatinib,JUN,False,Transcription factors
P05413,Afatinib,FABP3,False,Exosome
P05455,Afatinib;IAP_5620;AZD5582;Venetoclax;IAP_7638,SSB,False,none
P05783,Afatinib;GDC-0879;Savolitinib;PLX-4720;Cetuximab;Dabrafenib;PF-06747775;SB590885;LIMK1 inhibitor BMS4,KRT18,False,Cytoskeleton proteins
P06132,Afatinib;Dabrafenib;PF-06747775,UROD,False,Enzymes
P06213,Dabrafenib,INSR,False,Protein kinases
P06280,Dabrafenib;A-1155463,GLA,False,Enzymes
P06396,GDC-0879;PLX-4720;Dabrafenib;SB590885;LIMK1 inhibitor BMS4,GSN,False,Cytoskeleton proteins
P06400,Ara-G,RB1,True,Protein phosphatases and associated proteins
P06454,Afatinib;IAP_5620;AZD5582;Savolitinib;IAP_7638;Crizotinib,PTMA,False,none
P06493,Afatinib;Venetoclax,CDK1,False,Protein kinases
P06703,Venetoclax,S100A6,False,Domain-containing proteins not elsewhere classified
P06744,Afatinib;Savolitinib;AZD5582;WEHI-539;IAP_7638,GPI,False,Exosome
P06865,GDC-0879;PLX-4720;Dabrafenib;Venetoclax;SB590885;A-1155463,HEXA,False,Chaperones and folding catalysts
P07093,GDC-0879;Afatinib;PLX-4720;Dabrafenib;SB590885,SERPINE2,False,Peptidases and inhibitors
P07108,GDC-0879;Savolitinib;CAY10566;Dabrafenib;SB590885;Crizotinib,DBI,False,none
P07195,Afatinib;GDC-0879;AZD5582;PLX-4720;Dabrafenib;SB590885;IAP_7638;Crizotinib,LDHB,False,Exosome
P07199,AZD5582,CENPB,False,Chromosome and associated proteins
P07203,GDC-0879;Dabrafenib;PLX-4720,GPX1,False,Enzymes
P07237,Venetoclax;AZD5582,P4HB,False,Chaperones and folding catalysts
P07339,PLX-4720;Afatinib;Dabrafenib;PF-06747775,CTSD,False,Peptidases and inhibitors
P07355,WH-4-023;Afatinib;TGX221;AZD1152-HQPA;Venetoclax;SB590885,ANXA2,False,Membrane trafficking
